Subject,TrainingTask,FinalTestCondition,ResponseTime,Correct,Ans,CorrectAns,DanlinCode,FanqiCode,JasonCode,FinalCode
1,PI,EC,37.902,0,希望,渴望,0.5,0,0.5,0.5
1,RE,EC,23.279,0,快乐的,通知,0,0,0,0
1,EC,EC,30.66,1,附属物,附属物,1,1,1,1
1,CE,EC,59.005,0,渴望,预言,0,0,0,0
1,CE,EC,37.955,0,勋章,徽章,0.5,0.5,0.5,0.5
1,RE,EC,12.486,0,绑住,束缚,0.5,0.5,0.5,0.5
1,PI,EC,56.559,0,有趣的,滑稽,0.5,0.5,0,0.5
1,PI,EC,47.536,0,支持的,拥护,0.5,0.5,0.5,0.5
1,EC,EC,24.145,1,玩水,玩水,1,1,1,1
1,RE,EC,27.345,0,玩水,偷懒,0,0,0,0
1,PI,EC,14.23,1,教授,教授,1,1,1,1
1,CE,EC,40.723,0,愚蠢的,笨蛋,0.5,0.5,0.5,0.5
1,RE,EC,26.936,0,付出,兴奋,0,0,0,0
1,RE,EC,25.4,0,存在,安置,0,0,0,0
1,CE,EC,33.779,0,怒骂,责骂,0.5,0.5,0.5,0.5
1,EC,EC,47.721,0,抓住,篡改,0,0,0,0
1,EC,EC,74.911,0,玩耍,粗鲁,0,0,0,0
1,CE,EC,63.465,0,控诉,牢骚,0.5,0.5,0,0.5
1,EC,EC,27.419,1,狂饮,狂饮,1,1,1,1
1,CE,EC,55.484,0,花园,宁静,0.5,0,0.5,0.5
1,EC,EC,24.811,1,鲁莽,鲁莽,1,1,1,1
1,EC,EC,58.644,0,大胆,质问,0,0,0,0
1,PI,EC,65.698,1,诱骗,诱骗,1,1,1,1
1,PI,EC,54.036,0,烦躁的,烦躁,0.5,0.5,0.5,0.5
1,EC,EC,36.11,1,闲聊,闲聊,1,1,1,1
1,EC,EC,55.029,1,浸泡,浸泡,1,1,1,1
1,EC,EC,26.404,0,不快的,不适,0.5,0.5,0.5,0.5
1,RE,EC,20.444,0,破损,损坏,0.5,0.5,0.5,0.5
1,PI,EC,79.872,1,炫耀,炫耀,1,1,1,1
1,CE,EC,84.904,0,怒骂,急救,0,0,0,0
1,PI,EC,27.757,0,一点,少量,0.5,0.5,0.5,0.5
1,RE,EC,11.582,0,可饮用的,可饮用,0.5,0.5,0.5,0.5
1,CE,EC,78.262,0,使改变信仰,改变宗教,0.5,0.5,0.5,0.5
1,PI,EC,44.073,0,破烂的,破旧,0.5,0.5,0.5,0.5
1,EC,EC,47.056,0,离开,抗议,0,0,0,0
1,EC,EC,42.026,1,补偿,补偿,1,1,1,1
1,CE,EC,42.372,0,狂欢的,狂欢,0.5,0.5,0.5,0.5
1,PI,EC,26.483,0,发怒,生气,0.5,0.5,0.5,0.5
1,CE,EC,72.775,0,安静的,阴森,0,0,0.5,0
