Subject,TrainingTask,FinalTestCondition,CorrectPercentage,Efficiency(Word Learned /Minute)
1,CE,EC,0,0
1,EC,EC,0.5833333333333334,0.848594565762038
1,PI,EC,0.2727272727272727,0.3719730691497936
1,RE,EC,0.08333333333333333,0.2735204821254365
2,CE,EC,0.6666666666666666,1.5257663797378225
2,EC,EC,1,1.868232522295539
2,PI,EC,0.9166666666666666,1.338723385266335
2,RE,EC,0.8333333333333334,2.6069614560748717
3,CE,CE,0.08333333333333333,0.2688834614264268
3,EC,CE,0,0
3,PI,CE,0.08333333333333333,0.192521193374704
3,RE,CE,0,0
4,CE,EC,0.25,0.7625955362741277
4,EC,EC,0.16666666666666666,0.7146855978940597
4,PI,EC,0.25,0.6080362119343997
4,RE,EC,0,0
5,CE,EC,0.16666666666666666,0.3041285449983526
5,EC,EC,0.4166666666666667,0.6269789021599423
5,PI,EC,0.4166666666666667,0.6295550934154833
5,RE,EC,0.08333333333333333,0.2702690528421043
6,CE,EC,0.36363636363636365,0.5603391919908851
6,EC,EC,0.25,0.26626037306036715
6,PI,EC,0.5833333333333334,0.8469808158845202
6,RE,EC,0.16666666666666666,1.0932645791386897
7,CE,EC,0.2727272727272727,0.8407325583024676
7,EC,EC,0.16666666666666666,0.43407958849255013
7,PI,EC,0.25,0.7551602617888907
7,RE,EC,0,0
8,CE,CE,0,0
8,EC,CE,0,0
8,PI,CE,0.08333333333333333,0.24012774796191577
8,RE,CE,0,0
9,CE,EC,0.4166666666666667,0.7402289774970391
9,EC,EC,0.6666666666666666,1.6197228249315838
9,PI,EC,0.7,1.5427110575651615
9,RE,EC,0.36363636363636365,0.9293752275033109
10,CE,CE,0.25,0.3405839880114436
10,EC,CE,0.25,0.37900082748514
10,PI,CE,0.4166666666666667,0.6414532765433366
10,RE,CE,0.25,0.6455870538276139
11,CE,CE,0,0
11,EC,CE,0,0
11,PI,CE,0.08333333333333333,0.21294492179597746
11,RE,CE,0,0
12,CE,CE,0.5,1.2158103984210675
12,EC,CE,0.45454545454545453,1.245407559623887
12,PI,CE,0.75,1.6873734469914758
12,RE,CE,0,0
13,CE,EC,0.75,0.9984911689003284
13,EC,EC,0.8333333333333334,1.0927389319205434
13,PI,EC,0.5833333333333334,0.590007796531597
13,RE,EC,0.3333333333333333,0.7994297401187153
14,CE,CE,0.4166666666666667,0.6927542523565191
14,EC,CE,0.25,0.6592947743563635
14,PI,CE,0.6666666666666666,1.4756018457319755
14,RE,CE,0.16666666666666666,1.5573493913359462
15,CE,EC,0.5,0.9684552600571389
15,EC,EC,0.25,0.3725651316293308
15,PI,EC,0.16666666666666666,0.2725173105266624
15,RE,EC,0.08333333333333333,0.28833954865249317
16,CE,EC,0.09090909090909091,0.4090174718630065
16,EC,EC,0,0
16,PI,EC,0,0
16,RE,EC,0,0
17,CE,EC,0.18181818181818182,0.44328697290408375
17,EC,EC,0.2727272727272727,0.7862665443585375
17,PI,EC,0.16666666666666666,0.5194288014613264
17,RE,EC,0,0
18,CE,CE,0.16666666666666666,0.4016642287879447
18,EC,CE,0.25,0.5603374476629259
18,PI,CE,0.3333333333333333,0.8933955732249348
18,RE,CE,0.25,1.5241837149437747
19,CE,EC,0.5,1.1216910115160277
19,EC,EC,0.4166666666666667,0.6873135661951696
19,PI,EC,0.3333333333333333,0.8084319451883142
19,RE,EC,0.08333333333333333,1.3911108019753773
20,CE,CE,0.16666666666666666,0.3379015749029237
20,EC,CE,0.16666666666666666,0.40502911146738674
20,PI,CE,0.3333333333333333,0.7415486625860892
20,RE,CE,0.16666666666666666,2.254918541067704
21,CE,EC,0.25,0.7137390807833682
21,EC,EC,0.25,0.6334994509671424
21,PI,EC,0.3333333333333333,0.8768084173608066
21,RE,EC,0.2,1.535960679406607
22,CE,CE,0,0
22,EC,CE,0,0
22,PI,CE,0.1,0.17933038035973675
22,RE,CE,0.09090909090909091,0.3204392153511747
23,CE,CE,0.4166666666666667,0.92655220658408
23,EC,CE,0,0
23,PI,CE,0.18181818181818182,0.36153507794093726
23,RE,CE,0.36363636363636365,5.076893787151228
24,CE,CE,0.16666666666666666,0.41235979766879266
24,EC,CE,0.16666666666666666,0.5277439386409714
24,PI,CE,0.18181818181818182,0.5640157924421884
24,RE,CE,0.16666666666666666,1.945052273279844
25,CE,EC,0.3333333333333333,0.35919916546060554
25,EC,EC,0.3333333333333333,0.3181015698312471
25,PI,EC,0.25,0.37185011961178854
25,RE,EC,0.5454545454545454,1.1182937322742676
26,CE,EC,0.1111111111111111,0.32178138172925314
26,EC,EC,0.2,0.6099730595232045
26,PI,EC,0,0
26,RE,EC,0.18181818181818182,1.1233220377061763
27,CE,CE,0.18181818181818182,0.2069525716443934
