Subject,TrainingTask,FinalTestCondition,CorrectPercentage,Efficiency (Word Learned/Minute)
1,CE,EC,0.3181818181818182,0.32994226010448174
1,EC,EC,0.625,0.9092084633164692
1,PI,EC,0.5909090909090909,0.8059416498245527
1,RE,EC,0.375,1.2308421695644642
2,CE,EC,0.8333333333333334,1.907207974672278
2,EC,EC,1,1.868232522295539
2,PI,EC,0.9583333333333334,1.3995744482329864
2,RE,EC,0.9166666666666666,2.867657601682359
3,CE,CE,0.08333333333333333,0.2688834614264268
3,EC,CE,0.041666666666666664,0.133184758336256
3,PI,CE,0.16666666666666666,0.385042386749408
3,RE,CE,0,0
4,CE,EC,0.2916666666666667,0.8896947923198156
4,EC,EC,0.20833333333333334,0.8933569973675747
4,PI,EC,0.375,0.9120543179015994
4,RE,EC,0.041666666666666664,0.37171496896180006
5,CE,EC,0.4166666666666667,0.7603213624958816
5,EC,EC,0.4166666666666667,0.6269789021599423
5,PI,EC,0.5833333333333334,0.8813771307816767
5,RE,EC,0.2916666666666667,0.9459416849473651
6,CE,EC,0.4090909090909091,0.6303815909897458
6,EC,EC,0.3333333333333333,0.3550138307471562
6,PI,EC,0.5833333333333334,0.8469808158845202
6,RE,EC,0.20833333333333334,1.366580723923362
7,CE,EC,0.2727272727272727,0.8407325583024675
7,EC,EC,0.2916666666666667,0.7596392798619627
7,PI,EC,0.4166666666666667,1.2586004363148178
7,RE,EC,0.125,1.7587055926837847
8,CE,CE,0,0
8,EC,CE,0,0
8,PI,CE,0.08333333333333333,0.24012774796191577
8,RE,CE,0.041666666666666664,0.22544186605747266
9,CE,EC,0.5416666666666666,0.9622976707461509
9,EC,EC,0.7083333333333334,1.7209555014898077
9,PI,EC,0.75,1.6529047045341014
9,RE,EC,0.45454545454545453,1.1617190343791386
10,CE,CE,0.25,0.3405839880114436
10,EC,CE,0.2916666666666667,0.4421676320659967
10,PI,CE,0.4583333333333333,0.7055986041976703
10,RE,CE,0.25,0.6455870538276138
11,CE,CE,0,0
11,EC,CE,0,0
11,PI,CE,0.08333333333333333,0.2129449217959775
11,RE,CE,0.041666666666666664,0.22293561619404312
12,CE,CE,0.55,1.3373914382631742
12,EC,CE,0.5,1.3699483155862755
12,PI,CE,0.8333333333333334,1.8748593855460842
12,RE,CE,0,0
13,CE,EC,0.7916666666666666,1.0539629005059021
13,EC,EC,0.8333333333333334,1.0927389319205434
13,PI,EC,0.7083333333333334,0.7164380386455107
13,RE,EC,0.5833333333333334,1.3990020452077516
14,CE,CE,0.5,0.8313051028278228
14,EC,CE,0.2916666666666667,0.7691772367490908
14,PI,CE,0.75,1.6600520764484723
14,RE,CE,0.20833333333333334,1.9466867391699327
15,CE,EC,0.5416666666666666,1.0491598650619005
15,EC,EC,0.2916666666666667,0.43465932023421927
15,PI,EC,0.25,0.40877596578999364
15,RE,EC,0.125,0.4325093229787398
16,CE,EC,0.09090909090909091,0.40901747186300635
16,EC,EC,0.05,0.23329963449723928
16,PI,EC,0,0
16,RE,EC,0.045454545454545456,0.15081667228039836
17,CE,EC,0.22727272727272727,0.5541087161301047
17,EC,EC,0.2727272727272727,0.7862665443585375
17,PI,EC,0.20833333333333334,0.649286001826658
17,RE,EC,0,0
18,CE,CE,0.16666666666666666,0.4016642287879447
