R:\TRICKSFILES\S1-Vocab Learning\Data\S2.emrg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,Counterbalance,Counterbalance.Cycle,Counterbalance.Sample,Procedure[Block],Running[Block],Trial,CEAns,CEcorrect,CECorrectAns,CEEnd,CEList,CEList.Cycle,CEList.Sample,CEStart,Chinese,EC,EC.Cycle,EC.Sample,ECAns,ECcorrect,ECCorrectAns,ECEnd,ECStart,English,Procedure[Trial],Running[Trial]
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,1,soak,Incorrect,Macerate,94757,1,1,1,90017,浸泡,,,,,,,,,Macerate,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,2,headlong,Correct,Headlong,97924,2,1,2,94967,鲁莽,,,,,,,,,Headlong,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,3,compensate,Incorrect,Requite,108437,3,1,3,98133,补偿,,,,,,,,,Requite,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,4,chat,Incorrect,Jabber,116229,4,1,4,108633,闲聊,,,,,,,,,Jabber,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,5,appurtenancec,Incorrect,Appurtenance,124053,5,1,5,116432,附属物,,,,,,,,,Appurtenance,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,6,demonstrance,Incorrect,Remonstrance,130661,6,1,6,124249,抗议,,,,,,,,,Remonstrance,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,7,ramble,Incorrect,Gauche,134341,7,1,7,130865,粗鲁,,,,,,,,,Gauche,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,8,s,Incorrect,Dabble,138453,8,1,8,134548,玩水,,,,,,,,,Dabble,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,9,modify,Incorrect,Garble,149349,9,1,9,138665,篡改,,,,,,,,,Garble,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,10,ask,Incorrect,Heckle,155204,10,1,10,149548,质问,,,,,,,,,Heckle,CEProc,CEList
